,Accuracy_Passes,Goals_Assist,Goals_Total,Height_cm
0,79.0,2.0,0.0,180.0
1,75.0,2.0,4.0,183.0
2,50.0,0.0,0.0,185.0
3,74.0,2.0,0.0,189.0
4,76.0,0.0,0.0,174.0
5,63.0,0.0,0.0,180.0
6,82.0,5.0,1.0,176.0
7,79.0,1.0,0.0,187.0
8,73.0,2.0,1.0,179.0
9,62.0,1.0,16.0,181.0
10,53.0,0.0,0.0,188.0
11,58.0,0.0,0.0,191.0
12,78.0,0.0,0.0,173.0
14,79.0,0.0,0.0,184.0
15,56.0,1.0,1.0,182.0
16,71.0,1.0,1.0,179.0
17,79.0,0.0,0.0,184.0
19,78.0,1.0,0.0,182.0
20,86.0,0.0,0.0,183.0
21,89.0,2.0,5.0,184.0
22,61.0,1.0,4.0,184.0
23,64.0,5.0,8.0,186.0
24,75.0,1.0,2.0,182.0
25,70.0,0.0,0.0,185.0
26,74.0,0.0,1.0,177.0
27,82.0,1.0,3.0,186.0
28,80.0,0.0,3.0,188.0
29,68.0,0.0,0.0,182.0
30,74.0,1.0,2.0,178.0
31,67.0,1.0,0.0,192.0
37,64.0,0.0,0.0,177.0
40,80.0,1.0,2.0,175.0
42,77.0,0.0,1.0,181.0
43,50.0,0.0,0.0,186.0
44,81.0,3.0,3.0,173.0
45,71.0,0.0,0.0,180.0
46,78.0,0.0,2.0,179.0
48,66.0,4.0,3.0,176.0
49,53.0,1.0,0.0,180.0
50,50.0,0.0,0.0,180.0
51,57.0,0.0,0.0,180.0
60,87.0,0.0,1.0,189.0
61,78.0,0.0,0.0,176.0
62,91.0,0.0,0.0,177.0
63,73.0,1.0,0.0,182.0
64,77.0,0.0,0.0,178.0
65,95.0,1.0,0.0,178.0
66,78.0,1.0,4.0,177.0
67,81.0,1.0,0.0,180.0
68,80.0,0.0,1.0,184.0
69,83.0,0.0,0.0,186.0
70,74.0,0.0,0.0,188.0
71,66.0,0.0,0.0,192.0
73,70.0,1.0,0.0,186.0
74,68.0,0.0,0.0,183.0
75,66.0,0.0,0.0,186.0
80,80.0,0.0,0.0,180.0
81,77.0,1.0,5.0,175.0
82,66.0,1.0,0.0,182.0
83,84.0,0.0,0.0,189.0
84,73.0,2.0,1.0,179.0
85,70.0,0.0,1.0,179.0
86,78.0,0.0,2.0,185.0
88,86.0,0.0,0.0,184.0
89,88.0,1.0,0.0,180.0
90,62.0,3.0,0.0,180.0
91,72.0,0.0,1.0,178.0
92,64.0,0.0,1.0,184.0
93,72.0,1.0,1.0,174.0
94,59.0,2.0,0.0,175.0
95,88.0,3.0,3.0,177.0
96,81.0,0.0,2.0,188.0
97,81.0,1.0,4.0,173.0
102,72.0,0.0,0.0,179.0
103,54.0,0.0,2.0,203.0
105,64.0,1.0,6.0,186.0
106,82.0,0.0,0.0,189.0
107,77.0,0.0,0.0,182.0
108,89.0,0.0,2.0,187.0
110,72.0,1.0,7.0,183.0
111,39.0,0.0,0.0,189.0
112,96.0,0.0,0.0,182.0
113,75.0,1.0,4.0,188.0
114,42.0,0.0,0.0,192.0
115,76.0,2.0,0.0,171.0
117,23.0,0.0,0.0,174.0
120,75.0,2.0,0.0,181.0
121,89.0,0.0,2.0,194.0
122,71.0,0.0,0.0,181.0
123,90.0,0.0,1.0,180.0
124,88.0,8.0,10.0,176.0
125,82.0,1.0,3.0,178.0
127,52.0,0.0,0.0,190.0
128,89.0,3.0,1.0,174.0
130,80.0,6.0,3.0,169.0
131,76.0,2.0,0.0,171.0
132,76.0,4.0,0.0,177.0
133,73.0,2.0,1.0,170.0
134,82.0,2.0,3.0,183.0
135,75.0,3.0,0.0,172.0
136,65.0,0.0,0.0,188.0
137,72.0,0.0,3.0,171.0
138,79.0,1.0,1.0,193.0
139,38.0,0.0,0.0,186.0
140,75.0,1.0,2.0,183.0
141,74.0,1.0,2.0,192.0
144,56.0,0.0,0.0,165.0
145,74.0,0.0,0.0,179.0
146,68.0,0.0,0.0,179.0
147,39.0,0.0,0.0,184.0
148,80.0,0.0,0.0,181.0
149,50.0,0.0,0.0,192.0
150,82.0,0.0,0.0,179.0
151,62.0,1.0,3.0,184.0
152,0.0,0.0,0.0,190.0
153,73.0,0.0,0.0,182.0
154,73.0,0.0,1.0,170.0
155,32.0,0.0,0.0,187.0
160,81.0,6.0,3.0,181.0
161,74.0,13.0,29.0,182.0
162,66.0,2.0,5.0,187.0
163,77.0,2.0,3.0,169.0
164,69.0,1.0,2.0,180.0
165,87.0,1.0,2.0,184.0
166,79.0,2.0,1.0,172.0
167,87.0,3.0,0.0,171.0
168,80.0,1.0,0.0,182.0
169,74.0,1.0,0.0,180.0
170,72.0,0.0,0.0,175.0
171,68.0,3.0,7.0,178.0
174,85.0,0.0,1.0,186.0
175,86.0,4.0,1.0,171.0
176,78.0,2.0,9.0,177.0
177,76.0,0.0,0.0,175.0
178,80.0,1.0,1.0,188.0
180,79.0,3.0,6.0,175.0
181,78.0,2.0,7.0,186.0
182,85.0,4.0,0.0,177.0
183,77.0,2.0,4.0,181.0
184,74.0,1.0,2.0,188.0
185,67.0,0.0,0.0,176.0
186,74.0,0.0,1.0,177.0
187,70.0,1.0,2.0,179.0
188,66.0,0.0,0.0,184.0
189,63.0,0.0,0.0,171.0
191,68.0,0.0,0.0,184.0
192,68.0,5.0,10.0,183.0
193,64.0,1.0,0.0,183.0
200,52.0,0.0,0.0,190.0
201,83.0,1.0,0.0,179.0
202,89.0,3.0,2.0,196.0
203,56.0,0.0,0.0,186.0
204,82.0,1.0,2.0,179.0
205,66.0,0.0,0.0,197.0
206,69.0,0.0,0.0,176.0
207,85.0,0.0,0.0,180.0
210,77.0,0.0,0.0,192.0
213,70.0,0.0,2.0,180.0
215,84.0,0.0,0.0,185.0
216,73.0,3.0,1.0,178.0
217,55.0,0.0,0.0,187.0
218,58.0,0.0,0.0,177.0
220,84.0,1.0,2.0,188.0
221,86.0,6.0,8.0,180.0
222,81.0,10.0,2.0,174.0
224,71.0,1.0,11.0,182.0
226,55.0,0.0,0.0,188.0
228,83.0,0.0,0.0,193.0
229,81.0,1.0,0.0,179.0
230,69.0,4.0,2.0,179.0
231,79.0,1.0,2.0,180.0
233,63.0,0.0,0.0,181.0
234,67.0,1.0,3.0,179.0
235,73.0,1.0,0.0,178.0
236,69.0,5.0,1.0,178.0
237,73.0,0.0,2.0,167.0
240,79.0,9.0,37.0,170.0
241,75.0,11.0,13.0,175.0
242,83.0,0.0,0.0,189.0
243,88.0,0.0,7.0,184.0
244,86.0,1.0,3.0,180.0
245,73.0,5.0,12.0,172.0
247,60.0,0.0,0.0,195.0
248,75.0,0.0,0.0,176.0
249,75.0,0.0,3.0,184.0
250,77.0,1.0,1.0,181.0
251,68.0,2.0,8.0,177.0
252,70.0,0.0,0.0,192.0
255,47.0,0.0,0.0,188.0
261,81.0,0.0,0.0,190.0
262,70.0,4.0,11.0,170.0
265,86.0,1.0,3.0,188.0
266,79.0,0.0,2.0,184.0
268,78.0,0.0,0.0,171.0
272,85.0,0.0,1.0,186.0
273,86.0,4.0,1.0,171.0
274,78.0,2.0,9.0,177.0
275,76.0,0.0,0.0,175.0
280,81.0,6.0,3.0,181.0
281,74.0,13.0,29.0,182.0
282,76.0,1.0,0.0,192.0
283,66.0,2.0,5.0,187.0
285,74.0,0.0,0.0,192.0
286,77.0,2.0,3.0,169.0
288,87.0,1.0,2.0,184.0
289,76.0,0.0,0.0,185.0
290,79.0,0.0,5.0,187.0
291,79.0,2.0,1.0,172.0
292,87.0,3.0,0.0,171.0
293,80.0,1.0,0.0,182.0
294,74.0,1.0,0.0,180.0
295,72.0,0.0,0.0,175.0
296,68.0,3.0,7.0,178.0
298,87.0,0.0,0.0,170.0
300,91.0,0.0,1.0,182.0
301,80.0,2.0,1.0,179.0
302,86.0,2.0,1.0,184.0
303,65.0,0.0,4.0,189.0
304,79.0,1.0,3.0,180.0
305,54.0,0.0,0.0,190.0
306,60.0,1.0,4.0,180.0
307,56.0,1.0,7.0,187.0
308,84.0,4.0,4.0,169.0
309,79.0,5.0,9.0,182.0
310,79.0,3.0,8.0,175.0
311,47.0,0.0,0.0,192.0
312,95.0,0.0,0.0,182.0
313,81.0,1.0,2.0,172.0
315,73.0,2.0,0.0,175.0
316,79.0,0.0,0.0,180.0
317,79.0,3.0,1.0,184.0
318,73.0,0.0,2.0,186.0
320,79.0,6.0,25.0,187.0
321,73.0,2.0,6.0,185.0
322,73.0,0.0,0.0,190.0
323,71.0,0.0,1.0,178.0
324,75.0,1.0,2.0,183.0
325,76.0,2.0,1.0,174.0
326,77.0,2.0,0.0,180.0
327,66.0,0.0,0.0,184.0
329,84.0,2.0,1.0,182.0
330,68.0,2.0,0.0,178.0
332,86.0,0.0,0.0,181.0
333,74.0,1.0,0.0,182.0
334,71.0,0.0,0.0,186.0
335,78.0,2.0,1.0,171.0
337,77.0,0.0,2.0,170.0
338,74.0,1.0,2.0,170.0
339,80.0,0.0,0.0,175.0
341,79.0,3.0,1.0,171.0
342,82.0,2.0,7.0,170.0
343,74.0,1.0,1.0,189.0
344,60.0,6.0,1.0,175.0
345,65.0,0.0,0.0,186.0
346,66.0,0.0,1.0,185.0
349,40.0,0.0,0.0,178.0
350,74.0,0.0,2.0,170.0
351,66.0,6.0,5.0,186.0
352,53.0,0.0,0.0,196.0
353,72.0,1.0,1.0,178.0
354,68.0,0.0,1.0,170.0
355,69.0,1.0,7.0,186.0
356,38.0,0.0,0.0,183.0
358,76.0,0.0,3.0,188.0
359,76.0,5.0,2.0,176.0
360,100.0,0.0,0.0,185.0
361,77.0,0.0,4.0,189.0
362,73.0,3.0,2.0,189.0
363,73.0,4.0,3.0,181.0
364,91.0,0.0,0.0,174.0
365,71.0,0.0,1.0,168.0
366,78.0,0.0,1.0,188.0
367,79.0,0.0,0.0,184.0
368,71.0,2.0,1.0,174.0
370,72.0,0.0,0.0,189.0
371,75.0,1.0,4.0,185.0
372,76.0,3.0,3.0,171.0
373,60.0,1.0,0.0,175.0
374,49.0,0.0,0.0,195.0
381,76.0,0.0,0.0,184.0
382,71.0,4.0,1.0,182.0
383,68.0,1.0,2.0,174.0
385,69.0,1.0,0.0,191.0
386,58.0,0.0,0.0,187.0
387,48.0,0.0,0.0,176.0
388,71.0,1.0,7.0,190.0
389,38.0,0.0,0.0,180.0
390,74.0,0.0,1.0,192.0
394,43.0,0.0,0.0,184.0
400,66.0,4.0,6.0,183.0
401,75.0,4.0,10.0,186.0
402,59.0,0.0,0.0,179.0
403,74.0,0.0,0.0,186.0
404,74.0,3.0,7.0,187.0
405,75.0,0.0,0.0,181.0
406,85.0,0.0,0.0,181.0
407,87.0,0.0,0.0,185.0
408,77.0,0.0,0.0,180.0
409,40.0,0.0,0.0,190.0
410,84.0,1.0,1.0,183.0
411,65.0,1.0,2.0,173.0
412,66.0,0.0,0.0,173.0
420,89.0,1.0,0.0,190.0
421,83.0,2.0,1.0,185.0
422,82.0,0.0,0.0,186.0
423,82.0,0.0,2.0,189.0
424,68.0,0.0,0.0,185.0
425,84.0,2.0,1.0,191.0
426,83.0,0.0,4.0,185.0
427,73.0,3.0,5.0,178.0
428,62.0,0.0,0.0,189.0
429,90.0,3.0,1.0,177.0
430,86.0,0.0,0.0,178.0
431,81.0,1.0,1.0,171.0
432,72.0,0.0,0.0,187.0
434,82.0,0.0,0.0,180.0
435,81.0,0.0,0.0,175.0
436,70.0,1.0,0.0,179.0
437,78.0,1.0,0.0,184.0
438,64.0,0.0,1.0,175.0
439,25.0,0.0,0.0,183.0
440,82.0,0.0,0.0,187.0
441,87.0,6.0,1.0,170.0
442,87.0,6.0,0.0,178.0
443,88.0,3.0,0.0,189.0
444,86.0,4.0,0.0,173.0
445,90.0,3.0,2.0,180.0
446,80.0,4.0,0.0,176.0
447,86.0,2.0,3.0,182.0
448,79.0,2.0,2.0,179.0
449,91.0,12.0,3.0,183.0
450,88.0,2.0,1.0,172.0
451,83.0,7.0,2.0,173.0
452,80.0,5.0,11.0,185.0
453,50.0,1.0,1.0,180.0
454,71.0,3.0,5.0,182.0
455,77.0,2.0,6.0,178.0
456,76.0,8.0,8.0,174.0
457,78.0,3.0,0.0,175.0
459,69.0,0.0,0.0,180.0
460,57.0,0.0,0.0,188.0
461,82.0,6.0,6.0,185.0
462,85.0,0.0,1.0,185.0
464,84.0,7.0,7.0,171.0
465,73.0,0.0,1.0,180.0
466,65.0,2.0,12.0,180.0
468,72.0,0.0,1.0,185.0
470,63.0,0.0,1.0,175.0
471,41.0,0.0,0.0,180.0
472,82.0,2.0,1.0,179.0
473,80.0,0.0,0.0,181.0
474,74.0,7.0,2.0,181.0
475,78.0,3.0,14.0,175.0
476,67.0,2.0,0.0,178.0
477,76.0,1.0,2.0,183.0
479,45.0,0.0,0.0,186.0
480,75.0,1.0,1.0,187.0
481,74.0,3.0,4.0,184.0
482,82.0,8.0,4.0,176.0
483,74.0,8.0,4.0,171.0
484,78.0,8.0,16.0,176.0
485,76.0,4.0,15.0,190.0
486,84.0,2.0,0.0,184.0
487,85.0,7.0,5.0,182.0
488,72.0,3.0,4.0,180.0
489,73.0,0.0,0.0,184.0
490,83.0,1.0,2.0,184.0
491,79.0,2.0,7.0,190.0
492,81.0,4.0,10.0,181.0
493,81.0,2.0,0.0,176.0
494,75.0,1.0,0.0,173.0
495,87.0,1.0,2.0,175.0
497,48.0,0.0,3.0,180.0
498,38.0,0.0,0.0,180.0
499,68.0,0.0,0.0,182.0
501,93.0,0.0,0.0,184.0
502,84.0,4.0,0.0,176.0
503,84.0,4.0,3.0,179.0
504,83.0,1.0,1.0,184.0
505,85.0,1.0,5.0,178.0
506,71.0,4.0,13.0,180.0
507,73.0,0.0,1.0,187.0
508,82.0,2.0,3.0,182.0
509,78.0,1.0,2.0,175.0
511,74.0,0.0,0.0,178.0
514,72.0,4.0,12.0,189.0
515,75.0,0.0,11.0,172.0
517,74.0,1.0,2.0,185.0
518,88.0,0.0,0.0,179.0
519,45.0,1.0,0.0,184.0
520,82.0,2.0,7.0,170.0
521,74.0,1.0,1.0,189.0
522,60.0,6.0,1.0,175.0
523,69.0,1.0,1.0,184.0
525,74.0,0.0,0.0,182.0
526,75.0,1.0,1.0,177.0
527,81.0,2.0,3.0,181.0
528,61.0,3.0,0.0,175.0
529,77.0,4.0,1.0,182.0
530,79.0,1.0,2.0,180.0
531,80.0,1.0,1.0,180.0
532,61.0,4.0,10.0,184.0
533,74.0,0.0,2.0,170.0
534,66.0,6.0,5.0,186.0
535,53.0,0.0,0.0,196.0
536,80.0,0.0,0.0,167.0
537,76.0,0.0,1.0,191.0
540,79.0,3.0,1.0,171.0
541,76.0,3.0,0.0,182.0
544,66.0,0.0,1.0,185.0
546,40.0,0.0,0.0,178.0
549,65.0,0.0,0.0,177.0
550,50.0,0.0,0.0,187.0
553,77.0,0.0,1.0,181.0
554,76.0,0.0,1.0,188.0
555,72.0,1.0,1.0,178.0
556,41.0,0.0,0.0,185.0
557,68.0,0.0,1.0,170.0
559,76.0,5.0,2.0,176.0
560,64.0,1.0,0.0,189.0
561,56.0,0.0,0.0,165.0
563,76.0,0.0,0.0,185.0
564,83.0,0.0,0.0,193.0
566,54.0,0.0,0.0,185.0
567,75.0,1.0,0.0,187.0
568,72.0,0.0,0.0,182.0
569,78.0,3.0,13.0,169.0
570,71.0,0.0,0.0,183.0
572,57.0,0.0,0.0,182.0
576,75.0,1.0,0.0,175.0
577,72.0,2.0,2.0,180.0
578,57.0,2.0,3.0,190.0
579,74.0,2.0,0.0,186.0
580,84.0,3.0,1.0,176.0
581,74.0,3.0,2.0,182.0
582,75.0,4.0,1.0,168.0
583,79.0,0.0,0.0,185.0
584,81.0,2.0,2.0,177.0
585,64.0,1.0,5.0,192.0
586,81.0,0.0,0.0,178.0
589,50.0,0.0,0.0,185.0
591,75.0,0.0,1.0,185.0
592,56.0,0.0,0.0,186.0
593,65.0,1.0,2.0,179.0
594,81.0,1.0,0.0,182.0
595,47.0,0.0,0.0,187.0
597,72.0,0.0,0.0,191.0
598,66.0,0.0,1.0,187.0
599,65.0,0.0,0.0,173.0
601,70.0,4.0,11.0,170.0
603,86.0,1.0,3.0,188.0
604,84.0,1.0,1.0,180.0
605,80.0,2.0,2.0,173.0
606,79.0,0.0,2.0,184.0
607,82.0,0.0,1.0,177.0
608,75.0,0.0,3.0,184.0
609,77.0,1.0,1.0,181.0
611,80.0,1.0,0.0,175.0
612,73.0,2.0,5.0,177.0
615,61.0,0.0,0.0,180.0
620,73.0,5.0,12.0,172.0
621,81.0,0.0,0.0,190.0
623,78.0,0.0,0.0,171.0
625,55.0,0.0,0.0,180.0
626,66.0,0.0,0.0,184.0
627,66.0,2.0,3.0,190.0
629,65.0,0.0,0.0,185.0
632,80.0,0.0,0.0,186.0
636,32.0,0.0,0.0,187.0
640,74.0,1.0,2.0,188.0
642,67.0,0.0,0.0,176.0
643,70.0,1.0,2.0,179.0
645,70.0,0.0,0.0,192.0
646,63.0,0.0,0.0,171.0
647,73.0,0.0,0.0,182.0
651,68.0,0.0,0.0,184.0
660,100.0,0.0,0.0,185.0
661,77.0,0.0,4.0,189.0
663,87.0,0.0,0.0,177.0
664,71.0,0.0,1.0,168.0
667,79.0,0.0,0.0,184.0
668,69.0,1.0,0.0,191.0
669,90.0,0.0,0.0,171.0
670,71.0,1.0,7.0,190.0
672,75.0,1.0,4.0,185.0
674,75.0,2.0,8.0,175.0
675,72.0,0.0,3.0,175.0
676,64.0,0.0,1.0,175.0
677,76.0,3.0,3.0,171.0
