"Argentina","Villarreal","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Malaga","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Real Betis","Goalkeeper","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Real Sociedad","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Real Sociedad","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Spain","Athletic Club","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Spain","Athletic Club","Attacker","(60-90) AP","(10-25) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Atletico Madrid","Goalkeeper","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Tall"
"Spain","Celta Vigo","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Short"
"Spain","Athletic Club","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Alaves","Attacker","(30-60) AP","(0-10) Goals","Low Rating","Light Wieght","Medium Height"
"Spain","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Greece","Granada CF","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Brazil","Valencia","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Italy","Villarreal","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Spain","Villarreal","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Atletico Madrid","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Alaves","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Malaga","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Defender","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Real Sociedad","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Eibar","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Goalkeeper","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Eibar","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Venezuela","Sporting Gijon","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Tall"
"Spain","Osasuna","Defender","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"Spain","Sporting Gijon","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Espanyol","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Argentina","Deportivo La Coruna","Goalkeeper","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Eibar","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"Spain","Granada CF","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Medium Height"
"Spain","Espanyol","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Celta Vigo","Goalkeeper","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Italy","Atletico Madrid","Attacker","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Defender","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"France","Barcelona","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Serbia","Villarreal","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Argentina","Atletico Madrid","Midfielder","(90+) AP",NA,"Average Rating","Middle Weight","Short"
"France","Granada CF","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"France","Granada CF","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Portugal","Real Madrid","Defender","(90+) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Sporting Gijon","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Real Sociedad","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Argentina","Leganes","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Serbia","Malaga","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Burkina Faso","Malaga","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"France","Espanyol","Defender","(60-90) AP",NA,"Low Rating","Heavy Weight","Tall"
"Dominican Republic","Osasuna","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"France","Osasuna","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Brazil","Malaga","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Portugal","Sevilla","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Morocco","Granada CF","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Martinique","Osasuna","Attacker","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Slovenia","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Leganes","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Spain","Osasuna","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Medium Height"
"Spain","Granada CF","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Sporting Gijon","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Eibar","Attacker","(60-90) AP","(0-10) Goals","Low Rating","Middle Weight","Medium Height"
"Spain","Sporting Gijon","Attacker","(60-90) AP","(0-10) Goals","High Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Eibar","Defender","(30-60) AP",NA,"Average Rating","Light Wieght","Short"
"Turkey","Barcelona","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"France","Valencia","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Italy","Celta Vigo","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Cameroon","Sporting Gijon","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"C么te d'Ivoire","Sporting Gijon","Attacker","(30-60) AP","(0-10) Goals","Average Rating","Heavy Weight","Tall"
"Italy","Valencia","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Algeria","Sporting Gijon","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Eibar","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Argentina","Leganes","Goalkeeper","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Midfielder","(90+) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Goalkeeper","(30-60) AP",NA,"Low Rating","Heavy Weight","Tall"
"Portugal","Deportivo La Coruna","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(0-30) AP",NA,"Low Rating","Light Wieght","Short"
"Spain","Atletico Madrid","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Barcelona","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Tall"
"Croatia","Atletico Madrid","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Senegal","Celta Vigo","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Spain","Real Madrid","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Spain","Las Palmas","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Brazil","Valencia","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Argentina","Barcelona","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Turkey","Deportivo La Coruna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Granada CF","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Short"
"Chile","Valencia","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Malaga","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Malaga","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"Spain","Eibar","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Brazil","Sporting Gijon","Defender","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Short"
"Spain","Deportivo La Coruna","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Tall"
"Spain","Sporting Gijon","Attacker","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Villarreal","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Morocco","Alaves","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Tall"
"Spain","Sporting Gijon","Midfielder","(30-60) AP",NA,"Low Rating","Light Wieght","Short"
"Brazil","Granada CF","Defender","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Spain","Real Sociedad","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"Spain","Leganes","Goalkeeper","(30-60) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Atletico Madrid","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Midfielder","(30-60) AP",NA,"Low Rating","Middle Weight","Tall"
"Spain","Leganes","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Venezuela","Alaves","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Midfielder",NA,NA,"Average Rating","Heavy Weight","Medium Height"
"Argentina","Eibar","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Chile","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Leganes","Goalkeeper","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Brazil","Atletico Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Uruguay","Barcelona","Attacker","(60-90) AP","(25+) Goals","High Rating","Heavy Weight","Medium Height"
"Brazil","Leganes","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Middle Weight","Medium Height"
"Japan","Eibar","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Brazil","Villarreal","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Brazil","Sevilla","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Japan","Sevilla","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Barcelona","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Netherlands","Deportivo La Coruna","Attacker","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Portugal","Granada CF","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Serbia","Celta Vigo","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Deportivo La Coruna","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Short"
"Mexico","Real Sociedad","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Argentina","Alaves","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Short"
"Spain","Celta Vigo","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Spain","Barcelona","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Wales","Real Madrid","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Brazil","Las Palmas","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Short"
"Brazil","Leganes","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Espanyol","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Sporting Gijon","Defender","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Spain","Sporting Gijon","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Sporting Gijon","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Deportivo La Coruna","Defender","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Eibar","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Spain","Granada CF","Attacker","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Real Betis","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Portugal","Las Palmas","Defender","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"France","Sevilla","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Tall"
"Cameroon","Malaga","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Brazil","Deportivo La Coruna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Ukraine","Malaga","Goalkeeper","(60-90) AP",NA,"Low Rating","Heavy Weight","Tall"
"Qatar","Sporting Gijon","Attacker","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"C么te d'Ivoire","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Cameroon","Osasuna","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Tall"
"Colombia","Osasuna","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Nigeria","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Uruguay","Malaga","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Athletic Club","Defender","(30-60) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Israel","Granada CF","Attacker","(30-60) AP",NA,"Low Rating","Middle Weight","Short"
"Portugal","Real Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Colombia","Real Madrid","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Brazil","Real Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Congo DR","Villarreal","Attacker","(60-90) AP","(10-25) Goals","Average Rating","Middle Weight","Medium Height"
"Italy","Leganes","Goalkeeper","(30-60) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Brazil","Valencia","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Tall"
"Spain","Las Palmas","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Malaga","Defender","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Argentina","Las Palmas","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Leganes","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Brazil","Malaga","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Leganes","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Eibar","Defender","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Argentina","Las Palmas","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Argentina","Barcelona","Attacker","(60-90) AP","(25+) Goals","High Rating","Light Wieght","Short"
"Brazil","Barcelona","Attacker","(60-90) AP","(10-25) Goals","High Rating","Light Wieght","Short"
"Spain","Real Betis","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Real Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Valencia","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"France","Atletico Madrid","Attacker","(60-90) AP","(10-25) Goals","Average Rating","Light Wieght","Short"
"Spain","Sevilla","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Tall"
"Spain","Real Betis","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Deportivo La Coruna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Martinique","Sporting Gijon","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Spain","Sporting Gijon","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Sporting Gijon","Attacker","(60-90) AP",NA,"Low Rating","Heavy Weight","Tall"
"Spain","Celta Vigo","Goalkeeper","(30-60) AP",NA,"Average Rating","Light Wieght","Medium Height"
"France","Sevilla","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"France","Sevilla","Attacker","(60-90) AP","(10-25) Goals","Average Rating","Light Wieght","Short"
"Portugal","Barcelona","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"France","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Colombia","Deportivo La Coruna","Attacker","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"Serbia","Celta Vigo","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Deportivo La Coruna","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Short"
"Mexico","Real Sociedad","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Argentina","Alaves","Midfielder","(60-90) AP",NA,"Low Rating","Middle Weight","Short"
"Brazil","Atletico Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Uruguay","Barcelona","Attacker","(60-90) AP","(25+) Goals","High Rating","Heavy Weight","Medium Height"
"Suriname","Real Betis","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Tall"
"Brazil","Leganes","Midfielder","(60-90) AP","(0-10) Goals","Low Rating","Middle Weight","Medium Height"
"Venezuela","Malaga","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Tall"
"Japan","Eibar","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Brazil","Sevilla","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Venezuela","Malaga","Attacker","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Uruguay","Las Palmas","Defender","(60-90) AP","(0-10) Goals","Average Rating","Heavy Weight","Medium Height"
"Japan","Sevilla","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Barcelona","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Netherlands","Deportivo La Coruna","Attacker","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Portugal","Granada CF","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Osasuna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Portugal","Real Sociedad","Defender","(60-90) AP",NA,"Low Rating","Light Wieght","Short"
"France","Barcelona","Defender","(90+) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Serbia","Osasuna","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Brazil","Real Madrid","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Argentina","Sevilla","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Argentina","Sevilla","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Mexico","Granada CF","Goalkeeper","(30-60) AP",NA,"Average Rating","Heavy Weight","Medium Height"
"Paraguay","Real Betis","Attacker","(30-60) AP","(0-10) Goals","Average Rating","Light Wieght","Medium Height"
"Brazil","Alaves","Attacker","(30-60) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Las Palmas","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Italy","Villarreal","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Italy","Villarreal","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Italy","Osasuna","Goalkeeper","(30-60) AP",NA,"Low Rating","Middle Weight","Tall"
"Brazil","Barcelona","Defender","(90+) AP",NA,"Average Rating","Middle Weight","Medium Height"
"C么te d'Ivoire","Granada CF","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Light Wieght","Short"
"Spain","Leganes","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Short"
"Spain","Las Palmas","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"France","Alaves","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Malaga","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Portugal","Real Madrid","Attacker","(60-90) AP","(10-25) Goals","High Rating","Middle Weight","Medium Height"
"Spain","Valencia","Attacker","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Real Sociedad","Defender","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Spain","Villarreal","Defender","(60-90) AP","(0-10) Goals","Low Rating","Light Wieght","Medium Height"
"Ecuador","Espanyol","Attacker","(60-90) AP","(0-10) Goals","Low Rating","Heavy Weight","Medium Height"
"Venezuela","Malaga","Defender","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Short"
"Morocco","Deportivo La Coruna","Midfielder","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Granada CF","Midfielder","(60-90) AP",NA,"Average Rating","Middle Weight","Medium Height"
"Brazil","Real Betis","Midfielder","(60-90) AP","(0-10) Goals","Average Rating","Middle Weight","Medium Height"
"Spain","Osasuna","Defender","(60-90) AP",NA,"Average Rating","Light Wieght","Medium Height"
"Spain","Las Palmas","Midfielder","(60-90) AP",NA,"Low Rating","Light Wieght","Medium Height"
"Spain","Espanyol","Attacker","(60-90) AP",NA,"Low Rating","Middle Weight","Medium Height"
"Costa Rica","Espanyol","Defender","(60-90) AP",NA,"Average Rating","Heavy Weight","Medium Height"
